fps,explained_variance,policy_entropy,total_timesteps,nupdates,value_loss,policy_loss,ep_reward_mean,ep_len_mean
69,-0.05928504467010498,9.932570457458496,0,1,1.1554839611053467,0.29047590494155884,,
227,-0.2506934404373169,10.013214111328125,8019,100,1.6476768255233765,-0.06202111765742302,1052.705385,1000.0
231,-0.03136861324310303,9.99398136138916,16119,200,3.3992514610290527,-0.2656269669532776,2354.817386125,1000.0
227,-0.0540313720703125,10.0123929977417,24219,300,7.07906436920166,0.04534582793712616,4523.005166666667,1000.0
226,0.014052927494049072,10.04234504699707,32319,400,7.532357215881348,-0.17325378954410553,7341.246797343751,1000.0
225,-0.016506671905517578,10.025378227233887,40419,500,7.091494560241699,-0.027588091790676117,10546.80271095,1000.0
225,0.1409306526184082,9.986030578613281,48519,600,6.983935356140137,-0.4490887522697449,14047.864768833335,1000.0
224,-0.05919086933135986,9.908964157104492,56619,700,7.587841987609863,-0.1604788452386856,17009.855511482143,1000.0
224,-0.013460516929626465,9.886667251586914,64719,800,7.849908351898193,-0.4597232937812805,20244.24194215625,1000.0
224,-0.007457375526428223,9.759963035583496,72819,900,7.3783464431762695,-0.13349688053131104,23437.373878875,1000.0
224,0.007986366748809814,9.709120750427246,80919,1000,7.8740692138671875,-0.42256855964660645,27383.1205986875,1000.0
224,-0.02839219570159912,9.578850746154785,89019,1100,8.454122543334961,-0.1352207064628601,31324.488542488638,1000.0
224,0.03529667854309082,9.47782039642334,97119,1200,7.8017730712890625,-0.3890807628631592,35143.940628989585,1000.0
225,-0.011654853820800781,9.426949501037598,105219,1300,8.177644729614258,-0.37369504570961,40329.21652654,1000.0
225,0.0033301711082458496,9.345826148986816,113319,1400,7.569634437561035,0.05254749208688736,46861.9195479,1000.0
225,-0.020563721656799316,9.311490058898926,121419,1500,7.283884525299072,0.030576996505260468,53206.102567810005,1000.0
226,-0.014823675155639648,9.228615760803223,129519,1600,6.597283840179443,-0.0749702900648117,59341.15198424,1000.0
226,7.861852645874023e-05,9.055357933044434,137619,1700,6.750202178955078,0.17425429821014404,65448.477931199996,1000.0
226,0.006894350051879883,8.982796669006348,145719,1800,6.645948886871338,-0.1043928787112236,71011.25782089001,1000.0
227,-0.007055759429931641,8.848038673400879,153819,1900,6.855520725250244,0.08606116473674774,76756.11497184,1000.0
227,-0.012023568153381348,8.729706764221191,161919,2000,6.698451042175293,-0.23279255628585815,82133.99107728,1000.0
228,0.002933800220489502,8.57066535949707,170019,2100,6.797787666320801,-0.013183251023292542,87227.28090439,1000.0
229,-0.008499622344970703,8.418593406677246,178119,2200,6.818260192871094,-0.008633188903331757,92012.27656514,1000.0
229,-0.00015783309936523438,8.290084838867188,186219,2300,7.0661420822143555,-0.3793430030345917,96094.30831455,1000.0
230,-0.0100785493850708,8.174200057983398,194319,2400,6.942131042480469,0.06273021548986435,99624.3027385,1000.0
231,0.0036516189575195312,8.048821449279785,202419,2500,6.936099052429199,-0.013022646307945251,102950.18632163,1000.0
232,-0.001450657844543457,7.938569068908691,210519,2600,6.911412715911865,0.1582825481891632,106040.24810465997,1000.0
232,0.012608230113983154,7.8736114501953125,218619,2700,6.875072479248047,-0.0826442688703537,109020.41509350999,1000.0
233,0.022190749645233154,7.811966896057129,226719,2800,6.856731414794922,-0.10393638908863068,112066.42077835002,1000.0
234,0.00689852237701416,7.697388648986816,234819,2900,6.751007080078125,-0.11783558875322342,114534.74901862002,1000.0
235,0.007133185863494873,7.661704063415527,242919,3000,6.660647392272949,-0.4871765971183777,116536.36294219003,1000.0
236,-0.008276939392089844,7.613377571105957,251019,3100,6.588235378265381,0.08705131709575653,118392.37875907002,1000.0
236,0.005215346813201904,7.544339179992676,259119,3200,6.488690376281738,-0.23781196773052216,119892.63347084999,1000.0
237,-0.009399771690368652,7.499157905578613,267219,3300,6.444005489349365,0.09797725826501846,121199.49634506999,1000.0
238,0.01392817497253418,7.4431047439575195,275319,3400,6.369168758392334,-0.30042433738708496,122104.25281817002,1000.0
238,-0.003155231475830078,7.418510437011719,283419,3500,6.305812835693359,-0.012883014976978302,122664.11295914002,1000.0
239,-0.011164188385009766,7.375557899475098,291519,3600,6.309273719787598,0.03103816509246826,123106.35465901998,1000.0
239,-0.008603096008300781,7.38918399810791,299619,3700,6.292571067810059,-0.05578352138400078,123468.54708949002,1000.0
240,-0.003941178321838379,7.395783424377441,307719,3800,6.267256259918213,0.02304481714963913,123693.15757362003,1000.0
241,-0.01142895221710205,7.41213321685791,315819,3900,6.1810407638549805,0.04319930076599121,123777.15620357997,1000.0
241,-0.0025124549865722656,7.419497489929199,323919,4000,6.145928382873535,-0.08702542632818222,123813.90268721998,1000.0
242,-0.014499187469482422,7.413378715515137,332019,4100,6.138477325439453,0.001025572419166565,123821.00847049002,1000.0
242,-0.006659984588623047,7.413477420806885,340119,4200,6.121173858642578,-0.3315930664539337,123901.63254734,1000.0
242,-0.024972915649414062,7.410393714904785,348219,4300,6.116231441497803,-0.013159308582544327,123893.47961936,1000.0
243,-0.009881973266601562,7.435013771057129,356319,4400,6.095588684082031,0.21604947745800018,123931.26488163,1000.0
243,-0.00508427619934082,7.497147560119629,364419,4500,6.10736608505249,-0.24350136518478394,123939.14138307002,1000.0
244,0.00041109323501586914,7.466448783874512,372519,4600,6.1072893142700195,-0.17688792943954468,123998.22631764,1000.0
244,-0.013180851936340332,7.463742256164551,380619,4700,6.047380447387695,0.002252526581287384,124009.88832813996,1000.0
245,-0.031044960021972656,7.455348014831543,388719,4800,6.095444679260254,-0.21959255635738373,123985.28984712,1000.0
245,-0.009232401847839355,7.432019233703613,396819,4900,6.069449424743652,-0.125044047832489,123955.49117145,1000.0
245,0.03156334161758423,7.454312324523926,404919,5000,6.171008110046387,-0.41081035137176514,123880.09585756999,1000.0
246,-0.004357814788818359,7.463934898376465,413019,5100,6.205489158630371,-0.20130962133407593,123896.77967284,1000.0
246,0.003915846347808838,7.458331108093262,421119,5200,6.219344139099121,0.02205413579940796,123852.39339360002,1000.0
246,-0.015086174011230469,7.4715681076049805,429219,5300,6.159772872924805,0.6600015163421631,123939.24671224001,1000.0
246,-0.003428220748901367,7.415387153625488,437319,5400,6.145143985748291,0.20504209399223328,123963.30911977001,1000.0
247,0.008452951908111572,7.48879337310791,445419,5500,6.195321083068848,0.038841187953948975,124000.22934398001,1000.0
247,0.008992552757263184,7.530665397644043,453519,5600,6.212760925292969,-0.05628516525030136,123963.54517272998,1000.0
247,-0.00020682811737060547,7.5150604248046875,461619,5700,6.22026252746582,0.05914203077554703,123932.98536244,1000.0
247,-0.012197375297546387,7.483569145202637,469719,5800,6.189594745635986,0.1820927858352661,123747.07928116998,1000.0
247,-0.004449963569641113,7.494231224060059,477819,5900,6.229274749755859,-0.42637869715690613,123688.49027131998,1000.0
247,-0.0036989450454711914,7.454281806945801,485919,6000,6.2877326011657715,-0.1583067923784256,123701.70317313001,1000.0
248,-0.005045056343078613,7.430245399475098,494019,6100,6.286799430847168,0.030673325061798096,123712.42539179999,1000.0
248,-0.0014661550521850586,7.439505577087402,502119,6200,6.362960338592529,0.14840254187583923,123612.28030675002,1000.0
